Taurus–Auriga   25  2.2
SerSVS2         30  2.2
NGC1333         80  5
ρOph           100  8
IC348          109  6
NGC2024        225  20
σOri           225  20
MonR2          259  10
NGC2264        355  25
NGC6530        815  20
Ber86         1500  40
M42           2200  45
NGC2244       6240  70
NGC6611      20000  85
Tr14/16      43000 120
Arches       50000 135
R136        100000 145
Simulation     580  27
